#deviceId,InstantPower(mW),InstantTemperature(C),TotalEnergy(mJ)
3,112883,34,304409330974
3,112883,34,304409330974
3,112883,34,304409330974
3,112883,34,304409330974
3,112883,34,304409330974
3,112883,34,304409330974
3,112883,34,304409330974
3,112883,34,304409330974
3,112883,34,304409330974
3,112883,34,304409330974
3,112883,34,304409330974
3,112883,34,304409330974
3,112883,34,304409330974
3,112883,34,304409330974
3,112883,34,304409330974
3,112883,34,304409330974
3,112883,34,304409330974
3,112883,34,304409330974
3,112883,34,304409330974
3,112889,34,304409330974
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409342200
3,112889,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409353480
3,112896,34,304409364733
3,112896,34,304409364733
3,112896,34,304409364733
3,112904,34,304409364733
3,112904,34,304409364733
3,112904,34,304409364733
3,112904,34,304409364733
3,112904,34,304409364733
3,112904,34,304409364733
3,112904,34,304409364733
3,112904,34,304409364733
3,112904,34,304409364733
3,112904,34,304409364733
3,112904,34,304409364733
3,112904,34,304409364733
3,112904,34,304409364733
3,112904,34,304409364733
3,112904,34,304409364733
3,112904,34,304409364733
3,112904,34,304409376118
3,112904,34,304409376118
3,113415,34,304409376118
3,113415,34,304409376118
3,113415,34,304409376118
3,113415,34,304409376118
3,113415,34,304409376118
3,113415,34,304409376118
3,113415,34,304409376118
3,113415,34,304409376118
3,113415,34,304409376118
3,113415,34,304409376118
3,113415,34,304409389093
3,113415,34,304409389093
3,115166,34,304409389093
3,115166,34,304409389093
3,115166,34,304409389093
3,115166,34,304409389093
3,115166,34,304409389093
3,115166,34,304409389093
3,115166,34,304409389093
3,115166,34,304409402066
3,115166,34,304409402066
3,115166,34,304409402066
3,116830,34,304409402066
3,116830,34,304409402066
3,116830,34,304409402066
3,116830,34,304409402066
3,116830,34,304409402066
3,116830,34,304409402066
3,116830,34,304409402066
3,116830,34,304409402066
3,116830,34,304409402066
3,116830,34,304409415154
3,116830,34,304409415154
3,116830,34,304409415154
3,118624,34,304409415154
3,118624,34,304409415154
3,118624,34,304409415154
3,118624,34,304409415154
3,118624,34,304409415154
3,118624,34,304409415154
3,118624,34,304409428182
3,118624,34,304409428182
3,118624,34,304409428182
3,118624,34,304409428182
3,120296,34,304409428182
3,120296,34,304409428182
3,120296,34,304409428182
3,120296,34,304409428182
3,120296,34,304409428182
3,120296,34,304409428182
3,120296,34,304409441281
3,120296,34,304409441281
3,120296,34,304409441281
3,122252,34,304409441281
3,122252,34,304409441281
3,122252,34,304409441281
3,122252,34,304409441281
3,122252,34,304409441281
3,122252,34,304409454354
