#deviceId,InstantPower(mW),InstantTemperature(C),TotalEnergy(mJ)
0,115289,34,204336039093
0,115289,34,204336039093
0,115289,34,204336039093
0,115289,34,204336039093
0,115289,34,204336039093
0,115289,34,204336039093
0,115289,34,204336039093
0,115289,34,204336039093
0,115289,34,204336050611
0,115289,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336050611
0,115309,34,204336062318
0,115309,34,204336062318
0,115309,34,204336062318
0,115320,34,204336062318
0,115320,34,204336062318
0,115320,34,204336062318
0,115320,34,204336062318
0,115320,34,204336062318
0,115320,34,204336062318
0,115320,34,204336062318
0,115320,34,204336062318
0,115320,34,204336062318
0,115320,34,204336062318
0,115320,34,204336062318
0,115320,34,204336062318
0,115320,34,204336062318
0,115320,34,204336062318
0,115320,34,204336062318
0,115320,34,204336062318
0,115320,34,204336062318
0,115320,34,204336073737
0,115320,34,204336073737
0,115320,34,204336073737
0,115320,34,204336073737
0,115320,34,204336073737
0,115314,34,204336073737
0,115314,34,204336073737
0,115314,34,204336073737
0,115314,34,204336073737
0,115314,34,204336073737
0,115314,34,204336073737
0,115314,34,204336073737
0,115314,34,204336073737
0,115314,34,204336073737
0,115314,34,204336073737
0,115314,34,204336073737
0,115314,34,204336073737
0,115314,34,204336073737
0,115314,34,204336073737
0,115314,34,204336073737
0,115314,34,204336073737
0,115314,34,204336085344
0,115314,34,204336085344
0,115314,34,204336085344
0,115314,34,204336085344
0,115314,34,204336085344
0,115314,34,204336085344
0,115314,34,204336085344
0,115305,34,204336085344
0,115305,34,204336085344
0,115305,34,204336085344
0,115305,34,204336085344
0,115305,34,204336096644
0,115305,34,204336096644
0,115305,34,204336096644
0,115305,34,204336096644
0,115305,34,204336096644
0,115305,34,204336096644
0,115509,34,204336096644
0,115509,34,204336096644
0,115509,34,204336108752
0,115509,35,204336108752
0,115509,35,204336108752
0,115509,35,204336108752
0,115509,35,204336108752
0,116162,35,204336108752
0,116162,35,204336108752
0,116162,35,204336108752
0,116162,35,204336108752
0,116162,35,204336121432
0,116162,35,204336121432
0,116162,35,204336121432
0,117769,35,204336121432
0,117769,35,204336121432
0,117769,35,204336121432
0,117769,35,204336121432
0,117769,35,204336121432
0,117769,35,204336121432
0,117769,35,204336134894
0,117769,35,204336134894
0,117769,35,204336134894
0,117769,35,204336134894
0,117769,35,204336134894
0,117769,35,204336134894
0,119590,35,204336134894
0,119590,35,204336134894
0,119590,35,204336134894
0,119590,35,204336134894
0,119590,35,204336134894
0,119590,35,204336134894
0,119590,35,204336147976
0,119590,35,204336147976
0,119590,35,204336147976
0,119590,35,204336147976
0,119590,35,204336147976
0,121479,35,204336147976
0,121479,35,204336147976
0,121479,35,204336147976
0,121479,35,204336147976
0,121479,35,204336147976
0,121479,35,204336161295
0,121479,35,204336161295
0,121479,35,204336161295
0,121479,35,204336161295
0,121479,35,204336161295
0,121479,35,204336161295
0,121479,35,204336161295
0,123004,35,204336161295
0,123004,35,204336161295
0,123004,35,204336174389
0,123004,35,204336174389
0,123004,35,204336174389
0,123004,35,204336174389
0,123004,35,204336174389
0,123004,35,204336174389
0,123004,35,204336174389
0,123004,35,204336174389
0,123004,35,204336174389
0,124681,35,204336174389
0,124681,35,204336187737
0,124681,35,204336187737
0,124681,35,204336187737
0,124681,35,204336187737
0,124681,35,204336187737
0,124681,35,204336187737
0,124681,35,204336187737
0,124681,35,204336187737
0,124681,35,204336187737
0,124681,35,204336187737
0,124681,35,204336187737
0,126739,35,204336200918
0,126739,35,204336200918
0,126739,35,204336200918
0,126739,35,204336200918
0,126739,35,204336200918
0,126739,35,204336200918
0,126739,35,204336200918
0,126739,35,204336200918
0,126739,35,204336200918
0,126739,35,204336200918
0,126739,35,204336200918
0,126739,35,204336214192
0,128624,35,204336214192
0,128624,35,204336214192
0,128624,35,204336214192
0,128624,35,204336214192
0,128624,35,204336214192
0,128624,35,204336214192
0,128624,35,204336214192
0,128624,35,204336214192
0,128624,35,204336214192
0,128624,35,204336214192
0,128624,35,204336214192
0,128624,35,204336214192
0,128624,35,204336227463
0,130445,35,204336227463
0,130445,35,204336227463
0,130445,35,204336227463
0,130445,35,204336227463
0,130445,35,204336227463
0,130445,35,204336227463
0,130445,35,204336227463
0,130445,35,204336227463
0,130445,35,204336227463
0,130445,35,204336240653
0,131490,35,204336240653
0,131490,35,204336240653
0,131490,35,204336240653
0,131490,35,204336240653
0,131490,35,204336240653
0,131490,35,204336240653
0,131490,35,204336240653
0,131490,35,204336240653
0,131490,35,204336240653
0,131490,35,204336254141
0,132369,35,204336254141
0,132369,35,204336254141
0,132369,35,204336254141
0,132369,35,204336254141
0,132369,35,204336254141
0,132369,35,204336254141
0,132369,35,204336254141
0,132369,35,204336254141
0,132369,35,204336254141
0,132369,35,204336267297
0,132369,35,204336267297
0,132347,35,204336267297
0,132347,35,204336267297
0,132347,35,204336267297
0,132347,35,204336267297
0,132347,35,204336267297
0,132347,35,204336267297
0,132347,35,204336267297
0,132347,35,204336267297
0,132347,35,204336267297
0,132347,35,204336280672
0,132347,35,204336280672
0,132347,35,204336280672
0,132455,35,204336280672
0,132455,35,204336280672
0,132455,35,204336280672
0,132455,35,204336280672
0,132455,35,204336280672
0,132455,35,204336280672
0,132455,35,204336280672
0,132455,35,204336280672
0,132455,35,204336280672
0,132455,35,204336280672
0,132455,35,204336280672
0,132455,35,204336280672
0,132455,35,204336280672
0,132455,35,204336293529
0,132455,35,204336293529
0,132455,35,204336293529
0,131797,35,204336293529
0,131797,35,204336293529
0,131797,35,204336293529
0,131797,35,204336293529
0,131797,35,204336293529
0,115288,34,204335624818
0,115288,34,204335624818
0,115288,34,204335624818
0,115288,34,204335624818
0,115288,34,204335624818
0,115288,34,204335624818
0,115288,34,204335624818
0,115288,34,204335624818
0,115288,34,204335624818
0,115288,34,204335624818
0,115288,34,204335624818
0,115288,34,204335624818
0,115288,34,204335624818
0,115299,34,204335624818
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335636205
0,115299,34,204335647711
0,115299,34,204335647711
0,115295,34,204335647711
0,115295,34,204335647711
0,115295,34,204335647711
0,115295,34,204335647711
0,115295,34,204335647711
