#deviceId,InstantPower(mW),InstantTemperature(C),TotalEnergy(mJ)
0,115661,34,204340592834
0,115661,34,204340592834
0,115661,34,204340592834
0,115661,34,204340592834
0,115661,34,204340592834
0,115661,34,204340592834
0,115655,34,204340592834
0,115655,34,204340592834
0,115655,34,204340592834
0,115655,34,204340604454
0,115655,34,204340604454
0,115655,34,204340604454
0,115655,34,204340604454
0,115655,34,204340604454
0,115655,34,204340604454
0,115655,34,204340604454
0,115655,34,204340604454
0,115655,34,204340604454
0,115655,34,204340604454
0,115655,34,204340604454
0,115655,34,204340604454
0,115655,34,204340604454
0,115655,34,204340604454
0,115655,34,204340604454
0,115655,34,204340604454
0,115655,34,204340604454
0,115655,34,204340604454
0,115655,34,204340604454
0,115639,34,204340604454
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340615910
0,115639,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340627478
0,115649,34,204340639005
0,115649,34,204340639005
0,115644,34,204340639005
0,115644,34,204340639005
0,115644,34,204340639005
0,115644,34,204340639005
0,115644,34,204340639005
0,115644,34,204340639005
0,115644,34,204340639005
0,115644,34,204340639005
0,115644,34,204340639005
0,115644,34,204340639005
0,115644,34,204340639005
0,115644,34,204340650554
0,115638,34,204340650554
0,115638,34,204340650554
0,115638,34,204340650554
0,115638,34,204340650554
0,115638,34,204340662088
0,115621,34,204340662088
0,115621,34,204340673640
0,115621,34,204340673640
0,115621,34,204340673640
0,115621,34,204340685188
0,115621,34,204340685188
0,115604,34,204340685188
0,115604,34,204340685188
0,115604,34,204340696726
0,115581,34,204340696726
0,115581,34,204340696726
0,115581,34,204340708275
