#deviceId,InstantPower(mW),InstantTemperature(C),TotalEnergy(mJ)
3,112875,34,304401639903
3,112875,34,304401639903
3,112875,34,304401639903
3,112875,34,304401639903
3,112875,34,304401639903
3,112875,34,304401639903
3,112875,34,304401639903
3,112875,34,304401639903
3,112875,34,304401639903
3,112875,34,304401651181
3,112875,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401651181
3,112855,34,304401662456
3,112855,34,304401662456
3,112855,34,304401662456
3,112866,34,304401662456
3,112866,34,304401662456
3,112866,34,304401662456
3,112866,34,304401662456
3,112866,34,304401662456
3,112866,34,304401662456
3,112866,34,304401662456
3,112866,34,304401662456
3,112866,34,304401662456
3,112866,34,304401662456
3,112866,34,304401662456
3,112866,34,304401662456
3,112866,34,304401662456
3,112866,34,304401662456
3,112866,34,304401662456
3,112866,34,304401662456
3,112866,34,304401662456
3,112866,34,304401662456
3,112866,34,304401673726
3,112866,34,304401673726
3,112866,34,304401673726
3,112866,34,304401673726
3,112866,34,304401673726
3,112878,34,304401673726
3,112878,34,304401673726
3,112878,34,304401673726
3,112878,34,304401673726
3,112878,34,304401673726
3,112878,34,304401673726
3,112878,34,304401673726
3,112878,34,304401673726
3,112878,34,304401673726
3,112878,34,304401673726
3,112878,34,304401673726
3,112878,34,304401673726
3,112878,34,304401673726
3,112878,34,304401673726
3,112878,34,304401673726
3,112878,34,304401673726
3,112878,34,304401685094
3,112878,34,304401685094
3,112878,34,304401685094
3,112878,34,304401685094
3,112878,34,304401685094
3,112901,34,304401685094
3,112901,34,304401685094
3,112901,34,304401685094
3,112901,34,304401685094
3,112901,34,304401696277
3,112901,34,304401696277
3,112901,34,304401696277
3,112901,34,304401696277
3,112989,34,304401696277
3,112989,34,304401696277
3,112989,34,304401696277
3,112989,34,304401696277
3,112989,34,304401696277
3,112989,34,304401708174
3,112989,34,304401708174
3,112989,34,304401708174
3,112989,34,304401708174
3,113868,34,304401708174
3,113868,34,304401708174
3,113868,34,304401708174
3,113868,34,304401708174
3,113868,34,304401708174
3,113868,34,304401720791
3,113868,34,304401720791
3,113868,34,304401720791
3,113868,34,304401720791
3,113868,34,304401720791
3,116026,34,304401720791
3,116026,34,304401720791
3,116026,34,304401720791
3,116026,34,304401733877
3,116026,34,304401733877
3,116026,34,304401733877
3,116026,34,304401733877
3,116026,34,304401733877
3,116026,34,304401733877
3,116026,34,304401733877
3,116026,34,304401733877
3,117656,34,304401733877
3,117656,34,304401746922
3,117656,34,304401746922
3,117656,34,304401746922
3,117656,34,304401746922
3,117656,34,304401746922
3,117656,34,304401746922
3,117656,34,304401746922
3,117656,34,304401746922
3,117656,34,304401746922
3,117656,34,304401746922
3,119769,34,304401746922
3,119769,34,304401760261
3,119769,34,304401760261
3,119769,34,304401760261
3,119769,34,304401760261
3,119769,34,304401760261
3,119769,34,304401760261
3,119769,34,304401760261
3,119769,34,304401760261
