#deviceId,checkpointId,sample
3,0,2171
3,1,2230
3,2,2297
3,3,2363
3,4,2424
3,5,2488
3,6,2552
3,7,2619
3,8,2689
3,9,2759
3,10,2825
3,11,2894
3,12,2960
3,13,3027
3,14,3093
3,15,3162
3,16,3228
3,17,3291
3,18,3355
3,19,3421
3,20,3481
3,21,3553
3,22,3622
3,23,3684
3,24,3749
3,25,3814
3,26,3884
3,27,3952
3,28,4015
3,29,4082
3,30,4145
3,31,4212
3,32,4275
3,33,4343
3,34,4412
3,35,4477
3,36,4546
3,37,4612
3,38,4680
3,39,4745
3,40,4807
3,41,4875
3,42,4943
3,43,5005
3,44,5070
3,45,5137
3,46,5206
3,47,5275
3,48,5345
3,49,5411
3,50,5478
3,51,5543
3,52,5611
3,53,5676
3,54,5742
