#deviceId,checkpointId,sample
0,0,2077
0,1,2079
0,2,2082
0,3,2085
0,4,2088
0,5,2090
0,6,2093
0,7,2095
0,8,2097
0,9,2100
0,10,2102
0,11,2104
0,12,2106
0,13,2108
0,14,2110
0,15,2114
0,16,2115
0,17,2118
0,18,2121
0,19,2124
0,20,2127
0,21,2129
0,22,2132
0,23,2134
0,24,2136
0,25,2138
0,26,2140
0,27,2142
0,28,2146
0,29,2148
0,30,2151
0,31,2154
0,32,2157
0,33,2159
0,34,2161
0,35,2164
0,36,2166
0,37,2168
0,38,2170
0,39,2173
0,40,2176
0,41,2178
0,42,2180
0,43,2183
0,44,2185
0,45,2188
0,46,2191
0,47,2194
0,48,2196
0,49,2198
0,50,2201
0,51,2203
0,52,2206
0,53,2208
0,54,2211
