#deviceId,checkpointId,sample
0,0,2167
0,1,2169
0,2,2170
0,3,2173
0,4,2175
0,5,2179
0,6,2181
0,7,2183
0,8,2185
0,9,2187
0,10,2190
0,11,2192
0,12,2195
0,13,2197
0,14,2199
0,15,2202
0,16,2203
0,17,2206
0,18,2209
0,19,2212
0,20,2214
0,21,2216
0,22,2218
0,23,2221
0,24,2222
0,25,2224
0,26,2226
0,27,2228
0,28,2231
0,29,2234
0,30,2234
0,31,2238
0,32,2240
0,33,2242
0,34,2243
0,35,2246
0,36,2248
0,37,2250
0,38,2252
0,39,2256
0,40,2260
0,41,2263
0,42,2264
0,43,2266
0,44,2269
0,45,2271
0,46,2274
0,47,2275
0,48,2277
0,49,2278
0,50,2279
0,51,2280
0,52,2284
0,53,2287
0,54,2289
